AA    ;LOCATION           ;DATE      ;MIS;DW ;DM ;DC ;CAUSE OF DEATH                                                                                                                                        ;LOCATION DESCR.                                                                                                                                                                    ;COORDINATES                           ;URL                                                                                                                                                                  
002793;Sub-Saharan Africa ;23/06/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Ougadougou, Burkina Faso                                                                                                                                                           ;  +13.574529647827,   -2.413660049438;http://www.mixedmigration.org/4mi/
002794;US-Mexico Border   ;23/06/2018;000;000;001;000;Exposure, Hyperthermia                                                                                                                                ;Open desert, Ocotillo, Imperial County, California, USA                                                                                                                            ;  +32.708766937256, -115.995025634766;
002795;US-Mexico Border   ;22/06/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Los Palos Ranch near Falfurrias, Brooks County, Texas, USA                                                                                                                         ;  +27.263759613037,  -98.395309448242;https://bit.ly/2Ispe4v
002796;US-Mexico Border   ;22/06/2018;000;000;001;000;Drowning                                                                                                                                              ;Los Olmos Creek, near La Paloma Ranch, near Riviera, Kleberg County, Texas, USA                                                                                                    ;  +27.244543075562,  -97.860595703125;https://bit.ly/2IEgPuK
002797;North Africa       ;22/06/2018;000;001;001;001;Sickness and lack of access to medicines, Starvation, Dehydration                                                                                     ;Sahara desert, Libya                                                                                                                                                               ;  +23.095195770264,  +22.792007446289;http://www.mixedmigration.org/4mi/
002798;North Africa       ;22/06/2018;000;001;001;001;Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter                                             ;Sahara desert, Libya                                                                                                                                                               ;  +22.765384674072,  +22.374040603638;http://www.mixedmigration.org/4mi/
002799;North Africa       ;22/06/2018;000;001;001;001;Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter                                             ;Sahara desert, Libya                                                                                                                                                               ;  +25.500028610229,  +14.602295875549;http://www.mixedmigration.org/4mi/
002800;Sub-Saharan Africa ;22/06/2018;000;000;003;000;Dehydration, Harsh weather/lack of adequate shelter                                                                                                   ;Sahara desert, Chad                                                                                                                                                                ;  +24.540359497070,  +15.774139404297;http://www.mixedmigration.org/4mi/
002801;Horn of Africa     ;22/06/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Galkayo, Somalia                                                                                                                                                                   ;   +6.770377159119,  +47.417648315430;http://www.mixedmigration.org/4mi/
002802;Sub-Saharan Africa ;22/06/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Bamako, Mali                                                                                                                                                                       ;  +12.669425010681,   -7.909603118896;http://www.mixedmigration.org/4mi/
002803;Mediterranean      ;21/06/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;Bodies recovered at various locations on the Libyan coast                                                                                                                          ;  +32.805835723877,  +12.879104614258;
002804;Europe             ;21/06/2018;000;000;001;000;Presumed drowning                                                                                                                                     ;Lungomare on the corner with Via Tacito, Ventimiglia, Liguria, Italy - near border with France                                                                                     ;  +43.785533905029,   +7.620155811310;https://bit.ly/2MoGpX1
002805;Europe             ;21/06/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;Evros/Meri   river, Greece-Turkey border                                                                                                                                           ;  +40.897773742676,  +26.252355575562;https://bit.ly/2MlzCgt
002806;US-Mexico Border   ;21/06/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.163188934326, -112.998962402344;http://www.humaneborders.info/
