AA    ;LOCATION           ;DATE      ;MIS;DW ;DM ;DC ;CAUSE OF DEATH                                                                                                                                        ;LOCATION DESCR.                                                                                                                                                                    ;COORDINATES                           ;URL                                                                                                                                                                  
000001;US-Mexico Border   ;08/04/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Rio Bravo, Nuevo Laredo, Tamaulipas, Mexico                                                                                                                                        ;  +27.499559402466,  -99.529144287109;https://archive.ph/MxbRb
000002;Central America    ;05/04/2020;000;000;001;000;Accident (fell from train)                                                                                                                            ;San Lorenzo Soltepec, Tlaxcala, Mexico                                                                                                                                             ;  +19.604444503784,  -98.311943054199;https://archive.ph/93ZaE
000003;US-Mexico Border   ;05/04/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Rio Bravo, Eagle Pass, Maverick County, Texas, USA                                                                                                                                 ;  +28.711778640747, -100.507720947266;https://archive.ph/Nx54L
000004;Central America    ;05/04/2020;000;000;001;000;Run over by train                                                                                                                                     ;Ixtepec, Oaxaca, Mexico                                                                                                                                                            ;  +16.561126708984,  -95.096313476562;https://archive.ph/zpj1a
000005;US-Mexico Border   ;05/04/2020;000;000;001;000;Drowning                                                                                                                                              ;Las Cruces, Piedras Negras, Coahuila, Mexico                                                                                                                                       ;  +28.709461212158, -100.510734558105;https://archive.ph/3JNKz
000006;Mediterranean      ;01/04/2020;000;000;000;000;Presumed drowning                                                                                                                                     ;Remains recovered on Al Maya Shore, Zawiyah, Libya                                                                                                                                 ;  +32.792613983154,  +12.733749389648;
000007;US-Mexico Border   ;01/04/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Rio Bravo, Matamoros, Tamaulipas, Mexico                                                                                                                                           ;  +25.880790710449,  -97.492591857910;https://archive.vn/tzPjt
000008;South America      ;30/03/2020;000;001;002;000;Murdered                                                                                                                                              ;Brisas del Hon Kong, Puerto As  s, Putumayo, Colombia                                                                                                                              ;   +0.498509705067,  -76.497741699219;https://archive.ph/qLyNN
000009;Mediterranean      ;30/03/2020;000;000;000;000;Drowning                                                                                                                                              ;4km north of Plage idi Medjdoub, Kharouba, province of Mostaganem, Algeria                                                                                                         ;  +35.980308532715,   +0.053532633930;https://archive.ph/u4Plj
000010;North Africa       ;27/03/2020;021;001;000;000;Presumed drowning                                                                                                                                     ;17 nautical miles west off of Dakhla, Morocco                                                                                                                                      ;  +27.886157989502,  -13.596987724304;https://archive.vn/8XoSf
000011;US-Mexico Border   ;25/03/2020;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Comanche Ranch, Maverick County, Texas, USA                                                                                                                                        ;  +28.697183609009, -100.398078918457;https://bit.ly/2QQAPBk
000012;US-Mexico Border   ;25/03/2020;000;000;000;000;Presumed drowning                                                                                                                                     ;In a canal next to Cougar Park, El Paso, Texas, USA                                                                                                                                ;  +31.642269134521, -106.301856994629;https://bit.ly/2X0YqmR
000013;Sub-Saharan Africa ;24/03/2020;000;000;064;000;Asphyxiation                                                                                                                                          ;Inside truck at the Mussacana weight bridge in Tete, Mozambique, travelling from Malawi                                                                                            ;  -16.132810592651,  +33.606384277344;
000014;US-Mexico Border   ;23/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;R  o Bravo, Reynosa D  az, Tamaulipas, Mexico                                                                                                                                      ;  +26.216274261475,  -98.455535888672;https://bit.ly/2QGVkQU
000015;Central America    ;21/03/2020;000;000;001;000;Accident (fell from the roof of a train and was run over by it)                                                                                       ;Acultzingo, Veracruz, Mexico                                                                                                                                                       ;  +18.715656280518,  -97.307762145996;https://bit.ly/3dmjnyf
000016;US-Mexico Border   ;20/03/2020;000;000;001;000;Unknown                                                                                                                                               ;Cuevitas, Texas, USA                                                                                                                                                               ;  +26.258771896362,  -98.576225280762;https://bit.ly/3abmSWk
000017;US-Mexico Border   ;20/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Rio Bravo, Eagle Pass, Maverick County, Texas, USA                                                                                                                                 ;  +28.710723876953, -100.508102416992;https://archive.ph/2qFnA
000018;US-Mexico Border   ;19/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;R  o Bravo, Nuevo Laredo, Tamaulipas, Mexico                                                                                                                                       ;  +27.502147674561,  -99.528633117676;https://bit.ly/3dwCcid
000019;US-Mexico Border   ;18/03/2020;001;000;000;000;Pressumed drowning                                                                                                                                    ;In a canal close to the Zaragoza international bridge, El Paso, Texas, USA                                                                                                         ;  +31.671592712402, -106.336891174316;https://archive.ph/hFuTm
000020;US-Mexico Border   ;17/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;R  o Bravo, Nuevo Laredo, Tamaulipas, Mexico                                                                                                                                       ;  +27.504402160645,  -99.528884887695;https://bit.ly/2UCYar4
000021;Southeast Asia     ;14/03/2020;000;002;000;000;Vehicle Accident                                                                                                                                      ;Nikhom Phatthana, Rayong, Thailand                                                                                                                                                 ;  +12.829911231995, +101.204330444336;https://bit.ly/3aYbyfW
000022;US-Mexico Border   ;14/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Piedras Negras, Coahuila, Mexico (near international bridge #2)                                                                                                                    ;  +28.704906463623, -100.512367248535;https://bit.ly/2UbAH1d
000023;Mediterranean      ;12/03/2020;005;002;000;001;Drowning                                                                                                                                              ;Off the coast of Larache, Morocco                                                                                                                                                  ;  +35.189861297607,   -6.173145771027;https://archive.ph/gB4Vs
000024;US-Mexico Border   ;10/03/2020;000;001;000;000;Accident (fell down while climbing border wall)                                                                                                       ;El Paso, El paso County, Texas, USA                                                                                                                                                ;  +31.761877059937, -106.485023498535;https://bit.ly/33b78ji
000025;Mediterranean      ;10/03/2020;015;000;000;000;Presumed drowning                                                                                                                                     ;Off the coast of El Haouaria, Nabeul, Tunisia                                                                                                                                      ;  +36.433338165283,  +10.743388175964;https://bit.ly/2xlsUVy
000026;Europe             ;08/03/2020;000;000;000;000;Presumed drowning                                                                                                                                     ;Evros/Meri   river, near Feres, Greece                                                                                                                                             ;  +40.904621124268,  +26.255971908569;https://archive.ph/pZZd2
000027;Central America    ;08/03/2020;000;000;001;000;Killed                                                                                                                                                ;Filo de Caballos, Guerrero, Mexico                                                                                                                                                 ;  +17.648056030273,  -99.843887329102;https://archive.ph/F8KFn
000028;US-Mexico Border   ;07/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Body recovered from the R  o Bravo at Nuevo Laredo, Tamaulipas, Mexico                                                                                                             ;  +27.496971130371,  -99.528373718262;https://bit.ly/2VZlly3
000029;Middle East        ;04/03/2020;000;000;001;000;Shot                                                                                                                                                  ;Pazarkule/Kastanies border crossing point in Edirme, Turkey (Greece-Turkey border)                                                                                                 ;  +41.653293609619,  +26.490217208862;https://archive.vn/28DF4
000030;US-Mexico Border   ;04/03/2020;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Ranch near Falfurrias, Brooks County, Texas, USA                                                                                                                                   ;  +27.226987838745,  -98.144172668457;https://archive.ph/ynhnf
000031;Mediterranean      ;02/03/2020;000;000;001;001;Presumed drowning                                                                                                                                     ;Off the coast of Lesbos, Greece                                                                                                                                                    ;  +39.271419525146,  +26.392377853394;http://www.hcg.gr/node/22624
000032;Europe             ;02/03/2020;000;000;001;000;Shot                                                                                                                                                  ;At the Greece-Turkey border close to Enez, Edirme, Turkey                                                                                                                          ;  +40.811286926270,  +26.163667678833;https://archive.vn/28DF4
000033;US-Mexico Border   ;02/03/2020;002;000;002;000;Presumed drowning                                                                                                                                     ;Two bodies recovered from the R  o Bravo. One between Diaz Ordaz and Reynosa and one at Reynosa, Tamaulipas, Mexico.                                                               ;  +26.162714004517,  -98.394714355469;https://bit.ly/2wrhrUc
000034;US-Mexico Border   ;02/03/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Body recoverd from the R  o Bravo at Camargo, Tamaulipas, Mexico                                                                                                                   ;  +26.365243911743,  -98.815925598145;https://bit.ly/38E7TT4
000035;Sub-Saharan Africa ;01/03/2020;009;000;000;000;Presumed drowning                                                                                                                                     ;Between Anjouan, Comoros and Mayotte, France                                                                                                                                       ;  -12.532785415649,  +44.747425079346;https://archive.ph/v2bWI
000036;Europe             ;29/02/2020;001;001;000;000;Unknown                                                                                                                                               ;Evros/Meri   river, south of Edirne, Greece-Turkey border                                                                                                                          ;  +41.604045867920,  +26.595317840576;https://archive.vn/28DF4
000037;Europe             ;28/02/2020;000;000;003;000;Presumed suffocation                                                                                                                                  ;Bodies recovered at Volvi, Thessaloniki, Greece                                                                                                                                    ;  +40.665382385254,  +23.525232315063;https://bit.ly/2wahrYD
000038;US-Mexico Border   ;28/02/2020;003;000;000;000;Presumed drowning                                                                                                                                     ;Unspecified location around 1 mile off the shore of Del Mar, San Diego County, California, USA                                                                                     ;  +32.959487915039, -117.265312194824;https://archive.ph/BXr3n
000039;North Africa       ;27/02/2020;000;000;001;000;Unknown                                                                                                                                               ;Unspecified location close to Matorral, Castillo del Romeral, Gran Canaria, Spain                                                                                                  ;  +27.800645828247,  -15.438462257385;https://bit.ly/397IL8v
000040;US-Mexico Border   ;24/02/2020;000;000;001;000;Drowning                                                                                                                                              ;Rio Bravo, near El Cenizo, Texas                                                                                                                                                   ;  +27.332155227661,  -99.503715515137;https://bit.ly/2TgDzZ5
000041;Europe             ;22/02/2020;000;000;000;000;Vehicle  accident                                                                                                                                     ;Near Gramsh, Albania                                                                                                                                                               ;  +40.863368988037,  +20.185724258423;http://bit.ly/2HOPdVL
000042;Mediterranean      ;22/02/2020;000;000;001;000;Drowning                                                                                                                                              ;Body recovered 10 miles off Palma Bay, Palma de Mallorca, Spain                                                                                                                    ;  +39.569599151611,   +2.650160312653;http://bit.ly/2VDgFOg
000043;US-Mexico Border   ;21/02/2020;000;000;001;000;Pressumed exposure                                                                                                                                    ;Unspecified location in Falfurrias, Brooks County, Texas                                                                                                                           ;  +27.226987838745,  -98.144172668457;https://bit.ly/393HIWX
000044;South America      ;20/02/2020;000;000;001;001;Sickness                                                                                                                                              ;Near Pamplona, Norte de Santander, Colombia                                                                                                                                        ;   +7.378230094910,  -72.650337219238;http://bit.ly/2Vj98nQ
000045;US-Mexico Border   ;19/02/2020;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Kingsville, Kleburg, Texas                                                                                                                                                         ;  +27.515869140625,  -97.856109619141;https://bit.ly/393HIWX
000046;Southeast Asia     ;18/02/2020;000;001;000;000;Vehicle Accident                                                                                                                                      ;Ratthaphum-Hat Yai Road in Tambon Tha Chang of Bang Kham district, Thailand - travelling from the Cambodian border to Songkhla province in southern Thailand                       ;   +7.980647087097,  +99.500617980957;https://archive.ph/iIYrA
000047;North Africa       ;17/02/2020;014;000;000;002;Drowning                                                                                                                                              ;Off the coast of Dakhla, Morocco - en route to the Canary Islands, Spain                                                                                                           ;  +24.511272430420,  -16.862474441528;https://archive.ph/L6dcR
000048;Europe             ;17/02/2020;000;000;001;000;Presumed exposure                                                                                                                                     ;Near Tetovo village of Vejce, North Macedonia                                                                                                                                      ;  +42.006912231445,  +20.971527099609;http://mvr.gov.mk/izvadok-od-dnevni-nastani/1773
000049;Mediterranean      ;14/02/2020;000;000;001;000;Presumed drowning                                                                                                                                     ;Remains recovered off the coast of Collo, west of Skikda, wilaya of Skikda, Algeria - departed from Mostaganem on 28 January en route to Spain                                     ;  +37.059482574463,   +6.618582725525;https://archive.ph/rQGL6
000050;Mediterranean      ;14/02/2020;014;000;003;000;Drowning                                                                                                                                              ;Unknown location in the Central Mediterranean. Departed from Chetaibi, Annaba, Algeria. 4 bodies recoveredon 27 February at Sidi Machrek and Cap Sirat beaches in Binzer, Tunisia. ;  +37.737331390381,   +7.835872173309;https://bit.ly/2uzKxQu
000051;Southeast Asia     ;11/02/2020;045;012;003;000;Drowning                                                                                                                                              ;Bay of Bengal, off the coast of Saint Martin's Island, Bangladesh                                                                                                                  ;  +20.627155303955,  +92.341682434082;https://reut.rs/38trzdj
000052;Central America    ;11/02/2020;000;000;001;000;Vehicle Accident                                                                                                                                      ;Federal highway La Tinaja-Cosoleacaque, Veracruz, Mexico                                                                                                                           ;  +18.436161041260,  -95.960319519043;https://archive.ph/WnNpH
000053;US-Mexico Border   ;10/02/2020;000;003;000;000;Hypothermia                                                                                                                                           ;Laguna mountains, near the Ewiiaapaayp Indian Reservation, San Diego County, California, USA                                                                                       ;  +32.840370178223, -116.414123535156;https://archive.ph/h9you
000054;US-Mexico Border   ;10/02/2020;000;000;001;000;Vehicle Accident                                                                                                                                      ;Road near El Quemado, Maverick County, Texas, USA                                                                                                                                  ;  +28.943172454834, -100.621780395508;https://archive.ph/jcCOx
000055;Europe             ;10/02/2020;000;000;001;000;Unknown (decomposed remains)                                                                                                                          ;Evros River, near Thourio, Greece                                                                                                                                                  ;  +41.432731628418,  +26.609533309937;http://bit.ly/39XnxtR
000056;Mediterranean      ;09/02/2020;000;000;000;000;Presumed drowning                                                                                                                                     ;Body recovered off the coast of Benabdelmalek Ramdane, near Mostaganem, Algeria                                                                                                    ;  +36.193035125732,   +0.215419366956;https://archive.ph/xKPTa
000057;Mediterranean      ;09/02/2020;089;000;000;000;Presumed drowning                                                                                                                                     ;Unspecified location around 40km north of Garabulli, Libya. Two bodies were recovered near Dafiniya, near Zliten, Libya.                                                           ;  +32.916164398193,  +13.697441101074;https://archive.ph/h2GoJ
000058;Central America    ;08/02/2020;000;000;001;000;Fell from train                                                                                                                                       ;Train tracks in Sayula de Alem  n, Veracruz, Mexico                                                                                                                                ;  +17.881233215332,  -94.960746765137;https://archive.ph/OBANv
000059;Middle East        ;08/02/2020;005;000;000;000;Hypothermia                                                                                                                                           ;Mountain range in   ald  ran district, Van province, Turkey - near border with Iran                                                                                                ;  +39.141998291016,  +43.914001464844;https://archive.ph/CkQNl
000060;North Africa       ;08/02/2020;007;002;007;000;Hypothermia, Dehydration, Drowning                                                                                                                    ;800km south of El Hierro, Canary Islands, Spain                                                                                                                                    ;  +25.377246856689,  -18.573617935181;https://archive.ph/OXvgc
000061;North Africa       ;06/02/2020;000;000;000;000;Vehicle  accident                                                                                                                                     ;Road in Sabha, southwest Libya                                                                                                                                                     ;  +27.036540985107,  +14.429023742676;http://archive.ph/y8xr3
000062;Central America    ;04/02/2020;000;000;000;000;Vehicle Accident                                                                                                                                      ;Federal Road 180, near San Andr  s Tuxtla, Veracruz, Mexico                                                                                                                        ;  +18.442726135254,  -95.242973327637;http://archive.ph/OE1so
000063;Central America    ;04/02/2020;000;000;001;000;Fell from train                                                                                                                                       ;Train tracks near Comunidad Los Chinos, Salvador Alvarado, Sinaloa, Mexico                                                                                                         ;  +25.525985717773, -108.166763305664;https://archive.ph/DT5CN
000064;US-Mexico Border   ;03/02/2020;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near Sullivan Sur, D  az Ordaz, Tamaulipas, Mexico                                                                                                                     ;  +26.233810424805,  -98.579017639160;https://archive.ph/nftnG
000065;US-Mexico Border   ;03/02/2020;000;000;002;000;Drowning                                                                                                                                              ;Pacific Ocean, north of the Imperial Beach coast,  San Diego County, California, USA                                                                                               ;  +32.601402282715, -117.152778625488;http://archive.ph/0TZZs
000066;Middle East        ;02/02/2020;000;000;001;000;Hypothermia                                                                                                                                           ;Near Hac  bey stream, Derecik, Hakk  ri province, Turkey - near border with Iraq                                                                                                   ;  +37.072422027588,  +44.324348449707;http://archive.ph/vwaPD
000067;Mediterranean      ;01/02/2020;004;000;000;000;Drowning                                                                                                                                              ;Off the coast of Mostaganem, Algeria                                                                                                                                               ;  +35.975292205811,   +0.026091452688;https://archive.ph/q0F1z
000068;Central America    ;31/01/2020;000;000;001;000;Fell from train                                                                                                                                       ;Train tracks in an unspecified location in Mexico                                                                                                                                  ;  +23.634500503540, -102.552787780762;http://archive.ph/W2reS
000069;South America      ;29/01/2020;000;000;001;000;Drowning                                                                                                                                              ;Playa El Murci  lago de Manta, Manab   province, Ecuador                                                                                                                           ;   -0.939061284065,  -80.711959838867;http://archive.ph/9ojTn
000070;US-Mexico Border   ;28/01/2020;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near Ejido El Centinela, Piedras Negras, Coahuila, Mexico                                                                                                              ;  +28.788763046265, -100.533546447754;http://archive.ph/sHYRr
000071;US-Mexico Border   ;28/01/2020;000;000;000;000;Drowning                                                                                                                                              ;R  o Bravo, near International Bridge II, Eagle Pass, Maverick County, Texas, USA                                                                                                  ;  +28.697332382202, -100.510200500488;http://archive.ph/tKDR8
000072;US-Mexico Border   ;28/01/2020;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near Rancho Las Margaritas, Ejido San Isidro, Piedras Negras, Coahuila, Mexico                                                                                         ;  +28.878089904785, -100.599525451660;http://archive.ph/tKDR8
000073;Central America    ;28/01/2020;000;000;001;000;Fell from train                                                                                                                                       ;Train tracks in Sayula de Alem  n, Veracruz, Mexico                                                                                                                                ;  +17.881233215332,  -94.960746765137;https://archive.ph/EhG06
000074;South America      ;28/01/2020;000;000;001;000;Vehicle Accident                                                                                                                                      ;KM 340 of Carretera Panamericana Norte, near Distrito de Casma,   ncash, Per                                                                                                       ;   -9.468165397644,  -78.316528320312;https://archive.ph/IDZhJ
000075;Sub-Saharan Africa ;27/01/2020;000;001;000;000;Shot                                                                                                                                                  ;Niger-Algeria border, near N   Guezzam, Algeria                                                                                                                                    ;  +19.438951492310,   +5.815740585327;
000076;Central America    ;25/01/2020;000;000;001;000;Hit by train                                                                                                                                          ;Train tracks in Colonia Pakaln  , Palenque, Chiapas, Mexico                                                                                                                        ;  +17.542064666748,  -91.989379882812;http://bit.ly/3aKH9m1
000077;Mediterranean      ;25/01/2020;002;000;000;000;Presumed drowning                                                                                                                                     ;One nautical mile off the coast of Mersin, Turkey                                                                                                                                  ;  +36.751171112061,  +34.646667480469;http://archive.ph/V0gLh
000078;Europe             ;23/01/2020;000;000;000;000;Vehicle Accident                                                                                                                                      ;Road between Kavala and Amigdaleonas, east of Thessaloniki, Greece                                                                                                                 ;  +40.943225860596,  +24.375423431396;http://bit.ly/30NcrnI
000079;Central America    ;23/01/2020;000;000;001;000;Hit by train                                                                                                                                          ;Train tracks in San Juan Evangelista, Veracruz, Mexico                                                                                                                             ;  +17.887207031250,  -95.138671875000;http://archive.ph/kYgxS
000080;US-Mexico Border   ;23/01/2020;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near the Rio Grande City     Camargo International Bridge, Camargo, Tamaulipas, Mexico                                                                                 ;  +26.365633010864,  -98.802566528320;http://bit.ly/3aLy9x0
000081;Southeast Asia     ;23/01/2020;009;001;000;000;Drowning                                                                                                                                              ;Off the coast of Tanjung Medang, District of North Rupat, Bengkalis Regency, Riau Province, Indonesia - en route to Malaysia                                                       ;   +2.169159412384, +101.608535766602;http://archive.ph/AvOVB
000082;North Africa       ;23/01/2020;000;000;001;001;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter                                                          ;Bani Walid, Libya                                                                                                                                                                  ;  +31.764020919800,  +14.035110473633;
000083;North Africa       ;23/01/2020;000;001;000;000;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter                                                          ;Timiaouine, Algeria                                                                                                                                                                ;  +20.434520721436,   +1.809960007668;
000084;North Africa       ;23/01/2020;000;000;001;001;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter                                                          ;Bani Walid, Libya                                                                                                                                                                  ;  +31.764020919800,  +14.035110473633;
000085;North Africa       ;22/01/2020;000;000;001;000;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter                                                          ;Bani Walid, Libya                                                                                                                                                                  ;  +31.764020919800,  +14.035110473633;
000086;North Africa       ;22/01/2020;000;002;000;000;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter                                                          ;Tamanrasset, Algeria                                                                                                                                                               ;  +22.787960052490,   +5.527180194855;
000087;North Africa       ;22/01/2020;000;002;000;000;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Vehicle Accident                                        ;Tamanrasset, Algeria                                                                                                                                                               ;  +22.787960052490,   +5.527180194855;
000088;Central America    ;22/01/2020;000;000;001;000;Injuries                                                                                                                                              ;Died in hospital in Saltillo, Coahuila, Mexico - from injuries sustained in a fire on 16 January                                                                                   ;  +25.477285385132, -100.978782653809;http://bit.ly/2uqPfQa
000089;US-Mexico Border   ;21/01/2020;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Hospital General de Zona N  mero 11, Nuevo Laredo, Tamaulipas, Mexico                                                                                                              ;  +27.496509552002,  -99.504959106445;http://archive.ph/MdA5G
000090;North Africa       ;21/01/2020;000;000;001;000;?                                                                                                                                                     ;Unspecified location in Egypt, near border with Libya                                                                                                                              ;  +23.655609130859,  +25.082313537598;
000091;Sub-Saharan Africa ;21/01/2020;000;000;002;000;Sickness and lack of access to medicines, Dehydration                                                                                                 ;Unspecified location in Chad                                                                                                                                                       ;  +15.454166412354,  +18.732206344604;
000092;North Africa       ;20/01/2020;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Qatrun, Libya                                                                                                                                                                      ;  +24.934383392334,  +14.633160591125;
000093;US-Mexico Border   ;20/01/2020;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near Quemado, Maverick County, Texas, USA                                                                                                                              ;  +28.941158294678, -100.649482727051;http://bit.ly/3aE09T9
000094;Sub-Saharan Africa ;19/01/2020;000;000;002;000;Vehicle Accident                                                                                                                                      ;Bousso, Chad                                                                                                                                                                       ;  +16.733293533325,  +10.465947151184;
000095;North Africa       ;19/01/2020;000;001;000;000;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter                                                          ;Tamanrasset, Algeria                                                                                                                                                               ;  +22.787960052490,   +5.527180194855;
000096;Europe             ;18/01/2020;000;000;001;000;Hit by train                                                                                                                                          ;Train tracks near Thessaloniki Bridge, on the Eidomeni-Thessaloniki train line, Greece                                                                                             ;  +40.696918487549,  +22.808082580566;http://bit.ly/36fhNJH
000097;Central America    ;18/01/2020;000;000;001;000;Murder                                                                                                                                                ;Unspecified location near Chiapas, Mexico                                                                                                                                          ;  +16.756931304932,  -93.129234313965;https://www.laprensagrafica.com/elsalvador/Sepultan-a-migrante-que-fue-asesinado-20200225-0086.html
000098;Sub-Saharan Africa ;17/01/2020;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Agadez, Niger                                                                                                                                                                      ;  +16.973140716553,   +7.989739894867;
000099;Sub-Saharan Africa ;16/01/2020;000;001;001;000;Sickness and lack of access to medicines                                                                                                              ;Duruku, Niger                                                                                                                                                                      ;  +38.040420532227,  +44.135108947754;
000100;Sub-Saharan Africa ;16/01/2020;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Agadez, Niger                                                                                                                                                                      ;  +16.973140716553,   +7.989739894867;
